,0
0,-0.012337957724439451
1,-0.012847939966625125
2,-0.013423450212526182
3,-0.0139968455942411
4,-0.014527613800561666
5,-0.015104951960184104
6,-0.015587280837927922
7,-0.016099308568364692
8,-0.01653285317453638
9,-0.0168718295063385
10,-0.017243401179436128
11,-0.01752050685063799
12,-0.01777120862651641
13,-0.01804159682736617
14,-0.018267936637723563
15,-0.018503622163122277
16,-0.018741439303074155
17,-0.018980106240661238
18,-0.019230465856801257
19,-0.019412288273272106
20,-0.01960757804620082
21,-0.01976826820342235
22,-0.019930133425629333
23,-0.020107607127656864
24,-0.020211135349915643
25,-0.02029079590414694
26,-0.02035902386512531
27,-0.02041296009884623
28,-0.020431989409071663
29,-0.02044720293238975
30,-0.02045092275254606
31,-0.02044623209211459
32,-0.020454409167665985
33,-0.020448527660357305
34,-0.0204221338881848
35,-0.020388231860798155
36,-0.02036968805752234
37,-0.020331113463171784
38,-0.020272899221675317
39,-0.020194664680247408
40,-0.020087766393175173
41,-0.019910543468023546
42,-0.01973998403886605
43,-0.019588207320634304
44,-0.019384793843799812
45,-0.019163334486043272
46,-0.018957754473436374
47,-0.01876022117671573
48,-0.018531305603943723
49,-0.018297877395094676
50,-0.018068772477490076
51,-0.017741598217277638
52,-0.017486174248679084
53,-0.017230242504519745
54,-0.01686404850077121
55,-0.016523802196666458
56,-0.01613521969907465
57,-0.01564403229134351
58,-0.01515032003085624
59,-0.014544724811449802
60,-0.013978066786050876
61,-0.01341364146060235
62,-0.012901380169643649
63,-0.012430118519523584
64,-0.012424096062629546
65,-0.012951498328157075
66,-0.013537826830718991
67,-0.014086523872689377
68,-0.014600146539941485
69,-0.015200656520060779
70,-0.01566281310420092
71,-0.016126745898529245
72,-0.01654743246224921
73,-0.016875835328144267
74,-0.01722468693511082
75,-0.01749951115446524
76,-0.017727845494350365
77,-0.017971421493395236
78,-0.018169321805305238
79,-0.018365986814400177
80,-0.01858240463875264
81,-0.018798279802470095
82,-0.019044562722213273
83,-0.019221972761052766
84,-0.01939527071162413
85,-0.019555516259263647
86,-0.019727447604288115
87,-0.01993961915028087
88,-0.020081717936153223
89,-0.020197932424303768
90,-0.020297527952663732
91,-0.020358072736175792
92,-0.020386074049787352
93,-0.020407316802157748
94,-0.020416663507362633
95,-0.02041942851683597
96,-0.020420597318376504
97,-0.020410084677910872
98,-0.020397214553450914
99,-0.02036168447780876
100,-0.020309741878045573
101,-0.020238197986639738
102,-0.02014792847079488
103,-0.020034349911418572
104,-0.019905093649471014
105,-0.019719226299595775
106,-0.019538861762259878
107,-0.019369065351502786
108,-0.01915964652869567
109,-0.018936542695393455
110,-0.018719112483610707
111,-0.01853403651133828
112,-0.018318628223583842
113,-0.01808977842985365
114,-0.017883553654381212
115,-0.017599033557936485
116,-0.017345348264822803
117,-0.01709042935144455
118,-0.016782550057283522
119,-0.016501544184331182
120,-0.01614911900786752
121,-0.015695496947912852
122,-0.015211792052845912
123,-0.01464710039281182
124,-0.014091804639771999
125,-0.013528471058152273
126,-0.01300341293239552
127,-0.012514319099764394
128,-0.012513234727028536
129,-0.013055045537664922
130,-0.013642338111792501
131,-0.014190644830843811
